w,seed,arm,horizon,collapsed,mean_S,converged_S,profit,final_value_loss,explained_variance
0.7,43,segmented,300000,1,0.0,11.904656602442264,-128.1,2403.291126462061,0.4071070331538844
0.7,44,single,300000,1,0.0,0.0,-128.1,1451.1314661053173,0.5214684516446203
0.7,44,segmented,300000,1,0.0,0.0,-128.1,1449.556983845594,0.5219491726567602
0.7,45,single,300000,0,106.41658306121826,10.054433559626341,48.36600000000004,2158.207283409097,0.4952356119950612
0.7,45,segmented,300000,0,109.50027406215668,10.054433559626341,41.8013999999999,2156.81032757664,0.4959636655373451
0.7,46,single,300000,0,54.22370135784149,6.66761276870966,-24.78599999999995,1858.403009015814,0.49122709901923806
0.7,46,segmented,300000,0,37.80782222747803,6.66761276870966,-128.1,1858.1878710363665,0.491716663679506
0.7,47,single,300000,1,0.0,0.0,-128.1,1509.1344568410152,0.469238011755495
0.7,47,segmented,300000,1,0.0,0.0,-128.1,1506.561229877526,0.47018022898934847
0.7,48,single,300000,0,83.18053185939789,9.991923041641712,46.04790000000008,2157.6405798496344,0.4166372967326743
0.7,48,segmented,300000,0,89.18802440166473,9.991923041641712,84.9680000000002,2159.472305915159,0.41735159599373484
0.7,49,single,300000,1,0.0,4.208082574605942,-128.1,1608.1240686639424,0.4685280338311807
0.7,49,segmented,300000,1,0.0,4.208082574605942,-128.1,1606.5524804965723,0.468897828561628
0.8,42,single,300000,0,201.4797478914261,12.852252707630395,460.97000000000037,2819.622037688687,0.38912976030101126
0.8,42,segmented,300000,0,186.34070456027985,12.852252707630395,464.9419999999999,2820.0916573440245,0.38988567825056547
0.8,43,single,300000,0,92.31498837471008,14.49678480476141,-83.40000000000013,3332.2665490870463,0.3564879645903905
0.8,43,segmented,300000,0,94.76643800735474,14.49678480476141,-72.30000000000004,3324.2030107155824,0.3577068467170764
0.8,44,single,300000,0,0.0,13.437992057949305,-55.59849999999993,2587.0447103190622,0.42957664185609573
0.8,44,segmented,300000,0,0.0,13.437992057949305,-52.153499999999994,2585.9025064560756,0.430048222725208
0.8,45,single,300000,0,112.24089562892914,13.872263191454113,247.82120000000003,3468.7246407533307,0.42684858451541674
0.8,45,segmented,300000,0,109.13863778114319,13.872263191454113,136.97400000000002,3464.1391327643328,0.42811359274081695
0.8,46,single,300000,0,138.37415724992752,13.268938815034925,221.69600000000045,2734.18209512716,0.46062805751959485
0.8,46,segmented,300000,0,131.71808421611786,13.268938815034925,172.0599999999999,2730.2315998642534,0.46119614454925567
0.8,47,single,300000,0,142.61233061552048,12.494390584900975,262.46099999999973,2631.483084002112,0.44655433067908656
0.8,47,segmented,300000,0,129.43323701620102,12.494390584900975,146.84300000000013,2631.208394203294,0.44799901990808993
0.8,48,single,300000,0,133.98709893226624,17.50088820941746,193.27500000000003,2804.6305055536777,0.36481316069252473
0.8,48,segmented,300000,0,125.37717074155807,17.50088820941746,118.97499999999982,2808.0211361224838,0.36518632575996923
