run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
94,0.6,56,0.0,-128.1,0.5182402578694825,True,1439.8523248634451,0.4354034192287005
95,0.6,57,0.0,-128.1,0.519507414983065,True,1480.9613570514907,0.44968835729309636
100,0.7,42,110.06540060043335,171.11559999999992,0.22866805382633446,False,2408.384721576658,0.44242220416537714
99,0.6,61,0.0,-128.1,0.5177674686837654,True,1390.4579455992437,0.4357702534359235
101,0.7,43,83.91033113002777,382.59640000000024,0.11237913100869215,False,2378.162875320565,0.4324877426091932
104,0.7,46,0.0,40.41230000000009,0.3467573553210992,False,2085.122486044946,0.4508084366018446
106,0.7,48,81.40367269515991,-88.42820000000002,0.4854764642382846,False,2154.7309027212636,0.4414962560384192
97,0.6,59,0.0,-128.1,0.5277165188516677,True,1612.374383118893,0.4426410293731934
102,0.7,44,0.0,-128.1,0.5173429937269243,True,1520.4270429757926,0.5021248844125842
103,0.7,45,165.81504046916962,432.3419999999995,0.04147110747986096,False,2477.816472308384,0.4827778863792236
98,0.6,60,0.0,-128.1,0.5121162746831248,True,1366.7670755391784,0.44057150659525496
108,0.7,50,0.0,-128.1,0.5153191370466681,True,2019.0889791983145,0.44632276816245836
96,0.6,58,0.0,-128.1,0.5139874647024886,True,1480.683907189872,0.4309100214169066
109,0.7,51,84.18400585651398,-87.23100000000004,0.4817456049100919,False,2335.850939341488,0.45135294251207614
107,0.7,49,0.0,-128.1,0.5314132341582017,True,1556.4180295004123,0.4800642335898856
105,0.7,47,0.0,-128.1,0.5165791280650451,True,1908.5357604176231,0.37623137671850687
110,0.7,52,0.0,-128.1,0.5188447054617819,True,1784.5409894872596,0.4689885421186431
111,0.7,53,0.0,-128.1,0.5149925463760175,True,2127.038860347128,0.4122579362020533
112,0.7,54,108.18591713905334,-18.610000000000042,0.4243112056454845,False,2272.710568230784,0.4101438673897686
113,0.7,55,0.0,-128.1,0.5243769008931682,True,1452.924288870874,0.48194194639213067
114,0.7,56,0.0,-63.778200000000005,0.4920119038766564,False,1827.6421124645788,0.4259156557994011
