w,S_init,seed,converged_S,eval_mean_S,profit,collapsed,collapsed_fixed
1.0,50.0,47,43.708527488159014,458.97454023361206,439.3088000000006,0,0
1.0,50.0,46,18.24317276107147,500.0,464.2403000000002,0,0
1.0,50.0,48,27.27509177539963,354.4981926679611,349.9979999999996,0,0
1.0,50.0,49,22.412417390102053,134.73688811063766,244.84779999999984,0,0
1.0,50.0,50,32.94218748357147,403.2261222600937,460.9700000000004,0,0
1.0,50.0,51,18.181817826610057,500.0,461.0732000000002,0,0
1.0,50.0,52,20.705135722792473,432.4068874120712,460.9700000000004,0,0
1.0,50.0,53,28.545953753832727,444.1353380680084,461.1682000000003,0,0
1.0,150.0,42,28.062317595439964,241.8612763285637,353.79560000000004,0,0
1.0,150.0,44,21.306486433148383,0.0,186.16980000000004,0,0
1.0,150.0,43,25.659785320535303,142.7222639322281,136.04550000000003,0,0
1.0,150.0,45,23.753483823304997,392.179399728775,460.9700000000004,0,0
1.0,150.0,46,17.28584758301731,209.10804346203804,397.0870000000001,0,0
1.0,150.0,47,32.68212165219709,198.86942580342293,192.52349999999996,0,0
1.0,150.0,48,19.873314131814983,270.6779260188341,460.0469999999997,0,0
1.0,150.0,49,16.3826361393556,180.7893067598343,321.0624000000001,0,0
1.0,150.0,50,23.606698112390003,310.2158270776272,460.9691000000004,0,0
1.0,150.0,51,17.5060492090974,294.9000597000122,462.19000000000034,0,0
1.0,150.0,52,20.21737639422994,280.1254503428936,467.2400000000007,0,0
1.0,150.0,53,22.566561005571856,199.89833235740664,281.4863999999999,0,0
1.0,250.0,42,24.584977167472243,183.81772935390472,466.65640000000013,0,0
1.0,250.0,43,27.56853020042181,0.0,196.88460000000003,0,0
1.0,250.0,44,14.516245863586663,0.0,-128.1,1,0
1.0,250.0,45,27.49510847367346,137.43100315332413,220.90800000000007,0,0
1.0,250.0,46,19.35202548261732,145.72906494140625,292.63080000000025,0,0
1.0,250.0,48,23.61770390421152,12.57912814617157,-128.1,0,0
1.0,250.0,47,37.63321026861668,3.2001137733459473,-127.3862,1,0
1.0,250.0,49,12.679260324686766,131.4917951822281,168.29100000000034,0,0
1.0,250.0,50,22.87440966106951,120.81438302993774,197.8897,0,0
1.0,250.0,52,20.227457624673843,42.34007000923157,66.92809999999997,0,0
1.0,250.0,51,19.396819657832385,146.2245136499405,286.8236000000001,0,0
1.0,250.0,53,21.25733337029815,58.427780866622925,25.680800000000016,0,0
