run_idx,w,lambda_loss,seed,algo,env,mean_reward,collapsed,final_value_loss,final_explained_variance
205,0.8,1,47,PPO,MPE_CoopNav,-76.69307931060398,True,32.266559461381156,0.4486831783790442
113,0.55,1,55,PPO,MPE_CoopNav,-75.51243265392212,True,26.682837288800943,0.4373846797418045
173,0.7,1,55,PPO,MPE_CoopNav,-89.39269730154561,True,30.428141968320485,0.4574331505445909
218,0.8,1,60,PPO,MPE_CoopNav,-93.02179480932624,True,32.05173856082555,0.3274530997731164
211,0.8,1,53,PPO,MPE_CoopNav,-85.22741500367604,True,29.737791982411423,0.37035324604807374
220,0.85,1,42,PPO,MPE_CoopNav,-108.67587626909847,True,33.57138221908013,0.5001947241388118
209,0.8,1,51,PPO,MPE_CoopNav,-114.77775850808014,True,26.178168072697446,0.48750951587104463
223,0.85,1,45,PPO,MPE_CoopNav,-94.36843835997891,True,36.63417895994174,0.29656975433020527
212,0.8,1,54,PPO,MPE_CoopNav,-98.71025594861393,True,26.34512892024313,0.5345029869950383
214,0.8,1,56,PPO,MPE_CoopNav,-98.61439284203348,True,23.305555945566155,0.5155130682582282
210,0.8,1,52,PPO,MPE_CoopNav,-69.5789988510229,True,29.92297314648134,0.4326686815724788
215,0.8,1,57,PPO,MPE_CoopNav,-65.0525190051109,True,26.49401634295069,0.32960962104431035
219,0.8,1,61,PPO,MPE_CoopNav,-79.3242198468409,True,29.376311782838137,0.3944335840499355
221,0.85,1,43,PPO,MPE_CoopNav,-86.1130294197056,True,22.317686068340088,0.592620243011913
213,0.8,1,55,PPO,MPE_CoopNav,-98.95717878021317,True,23.11227651951255,0.5837648413436208
236,0.85,1,58,PPO,MPE_CoopNav,-122.5489254349983,True,26.580084622303133,0.5698001544145097
233,0.85,1,55,PPO,MPE_CoopNav,-82.86659275549087,True,31.9158894499957,0.46186448402807745
216,0.8,1,58,PPO,MPE_CoopNav,-117.47422397119654,True,29.124959487493765,0.4227569065272579
217,0.8,1,59,PPO,MPE_CoopNav,-91.64661975960956,True,31.38320424523152,0.5183855116023908
222,0.85,1,44,PPO,MPE_CoopNav,-91.99142032970533,True,23.872432425049603,0.528131632427667
232,0.85,1,54,PPO,MPE_CoopNav,-78.95899996662641,True,33.45051361739102,0.36394464536528276
