w,lambda,seed,mean_S,profit,lost_sales,bullwhip,mean_order,mean_inventory,collapsed,final_value_loss,final_explained_variance,train_steps
0.5,1.0,57,0.0,-128.1,0.519507414983065,0.0,0.0,196.10860215053765,1,1290.9795131368176,0.41782817180849546,300000
0.5,1.0,58,0.0,-128.1,0.5139874647024886,0.0,0.0,196.63548387096773,1,1280.5758779824632,0.42091133744798154,300000
0.5,1.0,59,0.0,-128.1,0.5277165188516677,0.0,0.0,196.46559139784944,1,1233.9874070191995,0.44202203513720095,300000
0.5,1.0,60,0.0,-128.1,0.5121162746831248,0.0,0.0,196.51075268817203,1,1170.0985365843162,0.4417445194772166,300000
0.5,1.0,61,0.0,-128.1,0.5177674686837654,0.0,0.0,196.4747311827957,1,1241.8005069134922,0.4156695364886879,300000
0.6,1.0,42,0.0,-128.1,0.5158669877768538,0.0,0.0,196.29677419354837,1,1689.6828340057634,0.4386957556518734,300000
0.6,1.0,43,0.0,-128.1,0.5165728289268111,0.0,0.0,196.1005376344086,1,1697.8695840341072,0.46538786004241717,300000
0.6,1.0,44,0.0,-128.1,0.5173429937269243,0.0,0.0,196.27903225806452,1,1323.1324145586063,0.48320033203842294,300000
0.6,1.0,45,16.28786325454712,66.09349999999993,0.3434216396597199,0.27691125368574127,0.4040740740740741,181.69462365591394,0,1609.632668204457,0.4659622277204807,300000
0.6,1.0,46,0.0,-128.1,0.508184749849319,0.0,0.0,196.58602150537635,1,1457.2281536200107,0.4232815356336088,300000
0.6,1.0,47,0.0,-128.1,0.5165791280650451,0.0,0.0,196.31129032258065,1,1357.1570355081149,0.4650954260275914,300000
0.6,1.0,48,0.0,-128.1,0.5208458755746784,0.0,0.0,196.1295698924731,1,1412.9175263407565,0.4417447175225641,300000
0.6,1.0,49,0.0,-128.1,0.5314132341582017,0.0,0.0,196.21075268817205,1,1256.3857861358556,0.5069126961832373,300000
0.6,1.0,50,0.0,-128.1,0.5153191370466681,0.0,0.0,196.30752688172043,1,1454.0939369658117,0.4479353504303174,300000
0.6,1.0,51,0.0,-128.1,0.518289184051047,0.0,0.0,196.64139784946235,1,1662.8899060349856,0.40227493631024647,300000
0.6,1.0,52,0.0,-128.1,0.5188447054617819,0.0,0.0,196.53870967741938,1,1551.7072535175203,0.4313661791065819,300000
0.6,1.0,53,0.0,-128.1,0.5149925463760175,0.0,0.0,196.33440860215052,1,1588.4083076237953,0.3968144572443432,300000
0.6,1.0,54,36.6390198469162,-128.1,0.5174862706277183,0.0,0.0,196.18870967741935,0,1828.3989249726644,0.40906609187268805,300000
0.6,1.0,55,0.0,316.26940000000013,0.1758850199181628,1.9708274574124403,1.0685185185185184,166.37311827956987,0,1862.1968702745576,0.49147941834396786,300000
0.6,1.0,56,0.0,-128.1,0.5182402578694825,0.0,0.0,196.23709677419356,1,1705.4820430657805,0.37683479780824775,300000
0.6,1.0,57,75.82536339759827,-109.1943,0.5025710900671001,0.0022022003890278773,0.03777777777777778,194.57365591397848,0,1801.4738468789647,0.464240179102645,300000
0.6,1.0,58,0.0,-128.1,0.5139874647024886,0.0,0.0,196.63548387096773,1,1475.947198214626,0.4407354711722105,300000
0.6,1.0,59,0.0,-128.1,0.5277165188516677,0.0,0.0,196.46559139784944,1,1655.364445317369,0.405573729521189,300000
0.6,1.0,60,0.0,-128.1,0.5121162746831248,0.0,0.0,196.51075268817203,1,1352.0529475785388,0.4487358134271752,300000
0.6,1.0,61,0.0,-128.1,0.5177674686837654,0.0,0.0,196.4747311827957,1,1340.247401954238,0.4604725753649687,300000
0.7,1.0,42,76.65067911148071,-6.074300000000005,0.40274890786297474,0.07816700144711869,0.2577777777777778,187.22526881720427,0,2271.80348437274,0.429129181509344,300000
0.7,1.0,43,0.0,-128.1,0.5165728289268111,0.0,0.0,196.1005376344086,1,2403.4085949063638,0.40610916008297193,300000
0.7,1.0,44,0.0,-128.1,0.5173429937269243,0.0,0.0,196.27903225806452,1,1451.1314661053173,0.5214684516446203,300000
0.7,1.0,45,106.41658306121826,48.36600000000004,0.36165861346102934,0.08589632460571914,0.362962962962963,181.97688172043013,0,2158.207283409097,0.4952356119950612,300000
0.7,1.0,46,54.22370135784149,-24.78599999999995,0.41000630954445283,0.08722858104198998,0.21296296296296297,189.04032258064515,0,1858.403009015814,0.49122709901923806,300000
0.7,1.0,47,0.0,-128.1,0.5165791280650451,0.0,0.0,196.31129032258065,1,1509.1344568410152,0.469238011755495,300000
0.7,1.0,48,83.18053185939789,46.04790000000008,0.3606968800595528,0.03616859154232803,0.3592592592592593,182.56129032258065,0,2157.6405798496344,0.4166372967326743,300000
0.7,1.0,49,0.0,-128.1,0.5314132341582017,0.0,0.0,196.21075268817205,1,1608.1240686639424,0.4685280338311807,300000
0.7,1.0,50,116.57685041427612,44.00900000000007,0.35654437159643876,0.21017652773917658,0.35185185185185186,182.6430107526882,0,2125.9748468165385,0.49621135072830397,300000
0.7,1.0,51,0.0,-105.03569999999995,0.4971261724081436,0.0044462494836687814,0.04666666666666667,194.8801075268817,0,2179.502449179103,0.5016973740779437,300000
0.7,1.0,52,0.0,-123.73000000000009,0.5188447054617819,0.279418552833685,0.42592592592592593,191.09784946236556,0,2151.431158688537,0.43683254973501223,300000
0.7,1.0,53,0.0,-85.56300000000005,0.5149925463760175,0.14069912138328994,0.25555555555555554,192.4247311827957,0,2174.531191794893,0.3848892712694967,300000
0.7,1.0,54,127.51860916614532,149.9690999999998,0.26791020371102087,3.8803431070896552,2.0433333333333334,160.42688172043012,0,2144.690901464479,0.4049946560054763,300000
0.7,1.0,55,0.0,-128.1,0.5243769008931682,0.0,0.0,196.202688172043,1,2087.478058632962,0.4544926233525969,300000
0.7,1.0,56,0.0,-128.1,0.5182402578694825,0.0,0.0,196.23709677419356,1,1951.4121470068253,0.44036558041205776,300000
0.7,1.0,57,245.63445895910263,460.97000000000037,0.03629048827406881,3.8076295105273403,1.5925925925925926,153.51236559139784,0,2274.0342476238893,0.49122626582781476,300000
0.7,1.0,58,0.0,295.75420000000014,0.21103870137414177,3.3364487856682836,1.35,166.51774193548385,0,1769.2245396421165,0.46149873236815137,300000
0.7,1.0,59,0.0,-111.95300000000005,0.5277165188516677,0.03052656442410264,0.1962962962962963,193.76666666666665,0,1864.679193910778,0.43698517978191376,300000
0.7,1.0,60,0.0,-128.1,0.5121162746831248,0.0,0.0,196.51075268817203,1,2365.0735059493627,0.14985867392303598,300000
0.7,1.0,61,0.0,-128.1,0.5177674686837654,0.0,0.0,196.4747311827957,1,1581.229201170658,0.47390810253783167,300000
0.8,1.0,42,201.4797478914261,460.97000000000037,0.03710145484061332,3.939027337702001,1.5925925925925926,153.76344086021507,0,2819.622037688687,0.38912976030101126,300000
