run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
49,0.55,51,108.89418423175812,25.849000000000263,0.37709808282462964,False,1564.8612709808076,0.6146966213541326
43,0.55,45,0.0,-19.121800000000057,0.4635034620327351,False,1370.2950053353109,0.4567112062949381
58,0.55,60,0.0,-128.1,0.5121162746831248,True,938.2834707840275,0.560893606366699
50,0.55,52,0.0,-128.1,0.5188447054617819,True,1215.9139318291805,0.45634601203965275
54,0.55,56,0.0,-128.1,0.5182402578694825,True,1199.4077611412285,0.4615099289501235
59,0.55,61,0.0,-128.1,0.5177674686837654,True,840.0663366816469,0.6160750947932423
51,0.55,53,0.0,-124.48500000000004,0.5117949388305839,False,1549.3773247142399,0.49404087766066684
52,0.55,54,0.0,-128.1,0.5174862706277183,True,843.8599115850068,0.6225907474660822
60,0.6,42,91.47030115127563,167.71749999999992,0.23350201376571472,False,1439.3060510277792,0.5464890682105703
53,0.55,55,0.0,-128.1,0.5243769008931682,True,903.4143054019002,0.6135168287390197
55,0.55,57,0.0,-128.1,0.519507414983065,True,922.3837762811606,0.6094600015350696
57,0.55,59,0.0,-128.1,0.5277165188516677,True,854.1862856576894,0.6236103174367098
56,0.55,58,0.0,290.4499999999998,0.11313521352834324,False,1223.050211633053,0.5103498071177665
61,0.6,43,199.0366354584694,461.21400000000057,0.03799300701066997,False,1706.4259933770234,0.609474278986454
62,0.6,44,0.0,-128.1,0.5173429937269243,True,890.2855846490523,0.6327837673488015
63,0.6,45,175.45287311077118,469.15500000000037,0.04147110747986096,False,1612.0983062961268,0.6172710288964061
69,0.6,51,172.2697615623474,464.2240000000003,0.03715506805506245,False,1521.5933169359162,0.5997327616082438
66,0.6,48,0.0,-128.1,0.5208458755746784,True,1068.6630553070145,0.5819965333637077
65,0.6,47,0.0,-128.1,0.5165791280650451,True,1025.9884063177878,0.5643704759241296
67,0.6,49,0.0,-128.1,0.5314132341582017,True,1191.701310221897,0.505398305051482
68,0.6,50,0.0,33.3035,0.3794062897510344,False,1364.8709991617927,0.5277542630916217
64,0.6,46,0.0,-128.1,0.508184749849319,True,974.7480341653136,0.6311547613226617
70,0.6,52,195.4527609050274,462.19000000000034,0.037235582552371874,False,1387.9823686250286,0.533209371194641
71,0.6,53,0.0,-128.1,0.5149925463760175,True,1491.4903355118388,0.5358371732551743
72,0.6,54,0.0,-128.1,0.5174862706277183,True,892.828694856875,0.6422655550939932
73,0.6,55,298.4170541167259,460.97000000000037,0.04840509300787349,False,1380.4845813383456,0.5801408818128778
78,0.6,60,0.0,-128.1,0.5121162746831248,True,893.7054556831353,0.6183112340173192
74,0.6,56,0.0,-128.1,0.5182402578694825,True,922.1932529586528,0.6192645320038658
